id;product_id;product_name;quantity;product_price;note;discount_amount;tax_amount;tax_percent;order_id
1;32633;than toward;14460;27592.37;potentially to officially;643.98;1820.73;4985.78;1
2;17067;weary but;7236;25552.67;gah outgoing recast;21185.76;29795.31;31343.93;2
3;7030;yuck eek;5733;31850.92;above than;26443.04;6570.37;10527.22;3
4;2776;roll;9288;4345.44;neat;8824.38;19424.89;18231.12;4
5;18995;torn override;20042;18430.84;psst so about;21069.51;20271.27;29464.48;5
6;27159;blaring micturate ugh;18819;1013.28;delirious;8812.46;15962.95;1669.6;6
7;31502;fooey;11254;530.98;threadbare sad;5621.31;3053.78;2303.4;7
8;15224;gesture endure bungle;22514;16417.79;wiggly anxious faithfully;10966.24;26841.45;14091.56;8
9;7833;per gracefully;13009;3390.2;optimistic;26354.51;4303.69;8535.31;9
10;8494;mild colorful;13622;26923.82;buddy;11477.53;4875.59;32299.9;10
